,Title,Company,Location,Job Description,When Posted,Pay,City,State,Is_Hybrid_Remote
16,PROJECT MANAGER - DATA & ANALYTICS,STAND 8,"Burbank, CA","STAND 8 provides end to end IT solutions to enterprise partners across the United States with offices in Los Angeles, New York, New Jersey, Atlanta and more,…",Posted 9 days ago·,145600.0,Burbank,CA,False
17,Data Scientist- CalAIM,Heluna Health,"Los Angeles, CA 90014","Salary: $51.00 - $68.72 Per Hour Community Programs is a program office within Health Services Administration, a division under the Los Angeles County…",Posted 30+ days ago·,,Los Angeles,CA,False
18,"Application Software Engineer, Data",SpaceX,"Hawthorne, CA",SpaceX was founded under the belief that a future where humanity is out exploring the stars is fundamentally more exciting than one where we are not. Today…,Posted 22 days ago·,,Hawthorne,CA,False
19,"Analyst, Content Performance Analytics (Disney Entertainment)",Disney,"Los Angeles, CA","Analyst, Content Performance Analytics (Disney Entertainment) Apply Later Job ID 10078081 Location Los Angeles, California, United States Business Disney…",Posted 30+ days ago·,93800.0,Los Angeles,CA,False
20,Statistician,UCLA,"Los Angeles, CA","The Statistician will serve under direction of the P.I.s and senior researcher(s) in the Center for Evaluation on Standards, & Student Testing (CRESST),…",Posted 21 days ago·,14583.0,Los Angeles,CA,False
21,Senior Clinical Data Analyst,Providence,"Burbank, CA 91505",Description The Radiation Oncology Systems Program Manager provides continuous technical and application support/analysis for various Radiation Oncology…,Posted 1 day ago·,143166.4,Burbank,CA,False
22,Data Science Junior Instructor (Los Angeles),The Knowledge House,"Los Angeles, CA",Start Date: Immediately End Date: September 2024 Employment Type: This is a part-time position. A flexible schedule including occasional weekend hours is…,Posted 15 days ago·,68640.0,Los Angeles,CA,False
23,Pricing and Valuations Analyst (Remote),Manufacturers Bank,"Remote in Los Angeles, CA 90071","NEW DIGITAL BANK MISSION STATEMENT Join us on our mission to create a completely new, 100% digital bank that truly serves customers' best interests. We are a…",Posted 30+ days ago·,,Remote in Los Angeles,CA,True
24,Data Scientist,goop,"Santa Monica, CA",About The Company Gwyneth Paltrow launched goop from her kitchen as a homespun weekly newsletter. It's grown a lot since then; goop is a lifestyle platform…,Posted 30+ days ago·,,Santa Monica,CA,False
25,Data Scientist,Fabletics,"Hybrid remote in El Segundo, CA 90245",Job Description TechStyleOS is looking for a Data Scientist to join our Marketing Science & Analytics team. How Do You Fit In? TechStyleOS is the operating…,Posted 30+ days ago·,,Hybrid remote in El Segundo,CA,True
26,Business Intelligence Analyst,Paramount+,"Los Angeles, CA 90069","About Us: Paramount Streaming is a division of Paramount that encompasses both free, paid, and premium streaming services including Paramount+, Pluto TV, CBS…",Posted 12 days ago·,,Los Angeles,CA,False
27,SENIOR DATA SCIENTIST,Los Angeles County Department of Human Resources,"Los Angeles County, CA","When to Apply We will be accepting applications from Friday, March 22, 2024, at 8:00 a.m. (PT) to Friday, April 5, 2024 BEFORE 5:00 p.m. (PT). Type of…",Posted 1 day ago·,155836.31,Los Angeles County,CA,False
28,Data Scientist,Exponent Inc.,"Los Angeles, CA 90066 ",About Exponent: Exponent is the only premium engineering and scientific consulting firm with the depth and breadth of expertise to solve our clients’ most…,Posted 30+ days ago·,,Los Angeles,CA,False
29,"Data Scientist, Product Analytics - Trust & Safety",TikTok,"Los Angeles, CA",Responsibilities About Us TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global…,Posted 8 days ago·,228000.0,Los Angeles,CA,False
30,Data Scientist,Hadrian,"Los Angeles, CA","Hadrian — Manufacturing the Future Hadrian is building autonomous factories that help aerospace and defense companies make rockets, jets, and satellites 10x…",Posted 23 days ago·,,Los Angeles,CA,False
31,Product Marketing Assistant Manager,Disney,"Glendale, CA","Product Marketing Assistant Manager Apply Later Job ID 10072120 Location Glendale, California, United States Business The Walt Disney Studios Date posted Mar…",Posted 30+ days ago·,136700.0,Glendale,CA,False
32,Staff Data Scientist Operations,LegalZoom,"Glendale, CA 91203",About LegalZoom We're here to make legal help accessible to all. LegalZoom transformed the legal industry with the launch of our online services and…,Posted 30+ days ago·,,Glendale,CA,False
33,Analytics Engineer (L5) - Content DSE,Netflix,"Los Angeles, CA","Los Angeles, California Data Science and Engineering Netflix is the world’s leading streaming entertainment service with over 260 million paid memberships in…",Posted 30+ days ago·,,Los Angeles,CA,False
34,Machine Learning Engineer,"Millennium Space Systems, A Boeing Company","El Segundo, CA 90245","Company Overview Millennium Space Systems, A Boeing Company delivers affordable, high-performance space systems for exacting customers. At Millennium, you…",Posted 30+ days ago·,111250.0,El Segundo,CA,False
35,Financial Reporting Specialist (Remote),"Lakeshore Learning Materials, LLC","Remote in Long Beach, CA 90810","Company Description At Lakeshore, we create innovative learning materials and world-class guest experiences for teachers, parents and children. Since 1954, we…",Posted 21 days ago·,54080.0,Remote in Long Beach,CA,True
36,ML Ops Data Engineer 2 - Hybrid - Seattle,Nordstrom Inc,"Los Angeles, CA",Job Description About the role: We are seeking a highly motivated and skilled ML Ops Data Engineer to join our growing Data Science Engineering team. In…,Posted 17 days ago·,188500.0,Los Angeles,CA,False
37,Business Intelligence Analyst - USDS,TikTok,"Hybrid remote in Los Angeles, CA",Responsibilities About TikTok U.S. Data Security TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring…,Posted 30+ days ago·,168888.0,Hybrid remote in Los Angeles,CA,True
38,Product Data Analyst (Gaming),TapBlaze,"Los Angeles, CA 90025 ","POSITION SUMMARY TapBlaze is looking for an ambitious, innovative product data analyst to help us drive the roadmap of our hit game, Good Pizza, Great Pizza.…",Posted 30+ days ago·,,Los Angeles,CA,False
39,Data Engineer (L4) - Content Knowledge Graph,Netflix,"Los Angeles, CA","Los Angeles, California Netflix is the world's leading internet streaming service with over 250 million members in 190 countries. Our members enjoy a wide…",Posted 30+ days ago·,,Los Angeles,CA,False
40,"Marketing Data Scientist, Reality Labs",Oculus,"Los Angeles, CA 90230",The Meta Reality Labs Marketing data science team is responsible for developing world-class data science solutions to maximize AR/VR business growth. This…,Posted 15 days ago·,204000.0,Los Angeles,CA,False
41,Data Scientist,Core Digital Media,"Hybrid remote in Los Angeles, CA",Core Digital Media brands empower people to improve their financial lives every day. We are one of the largest advertisers on the internet and tens of…,Posted 30+ days ago·,,Hybrid remote in Los Angeles,CA,True
42,"Data Scientist, 3+ Years of Experience",Snapchat,"Los Angeles, CA 90291 ",Snap Inc (https://www.snap.com/en-US/) is a technology company. We believe the camera presents the greatest opportunity to improve the way people live and…,Posted 30+ days ago·,194000.0,Los Angeles,CA,False
43,Senior Data Science Engineer,Relativity Space,"Long Beach, CA","Company Overview: At Relativity Space, we have two audacious goals: to build the next great commercial launch company with Terran R and to become America's…",Posted 8 days ago·,204000.0,Long Beach,CA,False
44,Product Manager - TikTok Social,TikTok,"Los Angeles, CA",Responsibilities TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices…,Posted 30+ days ago·,223250.0,Los Angeles,CA,False
45,"Manager, Content Data Engineering",Netflix,"Los Angeles, CA","Los Angeles, California Data Science and Engineering Who are we? Netflix is the world's leading internet entertainment service with over 260+ million…",Posted 30+ days ago·,,Los Angeles,CA,False
46,"Manager, Data Analytics",Disney,"Burbank, CA","Manager, Data Analytics Apply Later Job ID 10066638 Location Burbank, California, United States Business Disney Music Group Date posted Nov. 10, 2023 Job…",Posted 30+ days ago·,,Burbank,CA,False
47,Data Science Instructor,UCLA Extension,"Los Angeles, CA","***IMPORTANT - TO APPLY TO POSITION, YOU MUST APPLY THROUGH THE FOLLOWING JOB LINK: https://recruit.apo.ucla.edu/JPF08628*** POSITION OVERVIEW Position title…",Posted 30+ days ago·,,Los Angeles,CA,False
48,DATA SCIENTIST,US Department of the Air Force - Agency Wide,"Los Angeles, CA",Duties NH-02 DUTY 1: Performs developmental assignments in support of projects assigned to higher level analysts. Performs minor phases of a larger…,Posted 30+ days ago·,,Los Angeles,CA,False
49,Data Analyst - Product & Marketing (REMOTE),The League,"Remote in Los Angeles, CA","Company Description The League is a social dating app startup backed by IDG Ventures, xSeed Capital, Cowboy Ventures, Structure Capital, Sherpa Ventures, and…",Posted 30+ days ago·,,Remote in Los Angeles,CA,True
50,Systems Safety Engineer (Associate or Mid-Level),BOEING,"Long Beach, CA","At Boeing, we innovate and collaborate to make the world a better place. From the seabed to outer space, you can contribute to work that matters with a…",Posted 7 days ago·,,Long Beach,CA,False
51,"Software Development Engineer II, Ring Data Science and Engineering",Amazon.com Services LLC,"Hawthorne, CA 90250 ","- 3+ years of non-internship professional software development experience - 2+ years of non-internship design or architecture (design patterns, reliability…",Posted 7 days ago·,115000.0,Hawthorne,CA,False
52,Senior Data Analyst,"Evite, Inc.","Glendale, CA",Curious. Innovative. Collaborative. Inclusive. Committed to bringing people together to celebrate their most important life moments. That's who we are at Evite…,Posted 30+ days ago·,,Glendale,CA,False
53,Staff Analytics Engineer,Warner Bros. Discovery,"Culver City, CA 90232","Every great story has a new beginning, and yours starts here. Welcome to Warner Bros. Discovery… the stuff dreams are made of. Who We Are… When we say, …",Posted 30+ days ago·,244400.0,Culver City,CA,False
54,"Sr. Manager, Data Science & Analytics (Nordstrom Media Network)",Nordstrom Inc,"Los Angeles, CA",Job Description Nordstrom is reinventing the retail industry through the power of data and artificial intelligence. The vision for Data Science & Analytics…,Posted 10 days ago·,252500.0,Los Angeles,CA,False
55,Decision Scientist - Metaverse,Meta,"Los Angeles, CA 90066 ",The Marketing team focuses on building Meta's brand presence by improving user sentiment and product education. Our Marketing team seeks to understand how our…,Posted 13 days ago·,185000.0,Los Angeles,CA,False
56,Machine Learning Scientist (L4) - Content DSE,Netflix,"Los Angeles, CA","Los Angeles, California Data Science and Engineering Netflix is one of the world's leading entertainment services with over 260 million paid memberships in…",Posted 7 days ago·,,Los Angeles,CA,False
57,"Entry Level Data Analyst, application via RippleMatch",RippleMatch Opportunities,"Los Angeles, CA",This role is with RippleMatch's partner companies. About RippleMatch RippleMatch is the recruitment automation platform changing how Gen Z finds work. By…,Posted 1 day ago·,,Los Angeles,CA,False
58,"Developer, Data Insights & Analytics",USC,"Los Angeles, CA","The University of Southern California (USC), founded in 1880, is in the heart of downtown L.A. and is the largest private employer in the City of Los Angeles.…",Posted 30+ days ago·,,Los Angeles,CA,False
59,"Lead Data Analyst, Influence Operations - USDS",TikTok,"Hybrid remote in Los Angeles, CA",Responsibilities About TikTok U.S. Data Security TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring…,Posted 30+ days ago·,220611.0,Hybrid remote in Los Angeles,CA,True
60,"Manager, Data Analytics",StackCommerce,"Remote in Venice, CA",Enhance transparency around data decisions: document and publish data governance decisions and run-down data quality issues at the source.,Posted 30+ days ago·,,Remote in Venice,CA,True
61,MLOps and Data Engineer,Congruent,"Los Angeles, CA","Implement data transformation, feature engineering and enrichment techniques to prepare data for training and validation.",Posted 1 day ago·,,Los Angeles,CA,False
62,Applied Scientist I,Capital Group Companies,"Los Angeles, CA",You will conduct research and experimentation to identify and implement state-of-the-art methodologies in large language modeling and analyze patterns from…,Posted 30+ days ago·,266482.0,Los Angeles,CA,False
63,"Sr Data Scientist, Product Analytics - USDS",TikTok,"Hybrid remote in Los Angeles, CA","Deep dive into data sources, understand their limitations, and communicate complex data insights through exploratory analysis and research to suggest…",Posted 30+ days ago·,312866.0,Hybrid remote in Los Angeles,CA,True
64,Senior Live Product Data Analyst,TikTok,"Hybrid remote in Los Angeles, CA","Bachelor degree or above, major in mathematics, statistics, computer science is preferred; or major in science or engineering or engaged in data statistics,…",Posted 30+ days ago·,220611.0,Hybrid remote in Los Angeles,CA,True
65,Data Scientist,AE Studio,"Los Angeles, CA","Experience calling machine learning APIs via REST or client libraries - and determining that their responses lack wit, guile, and tact.",Posted 30+ days ago·,,Los Angeles,CA,False
66,"Data Reporting and Analytics Consultant IV / Biostatistician, Biostatistics Research",Kaiser Permanente,"Pasadena, CA",Prepares data for analytic efforts by integrating and consolidating data; ensuring data quality and accuracy; profiling data inaccuracies and recommending…,Posted 30+ days ago·,,Pasadena,CA,False
67,Software Engineer,National Football League,"Inglewood, CA","Degree in computer science, engineering, data science or related field preferred.",Posted 30+ days ago·,,Inglewood,CA,False
68,Sr. Data Analyst,MaryRuth's,"Remote in Los Angeles, CA","Maintain the data lifecycle, including consolidating raw data into a reporting layer to include groomed business logic and KPIs, partnering with tech functions…",Posted 30+ days ago·,,Remote in Los Angeles,CA,True
69,Staff Data Scientist,GOBankingRates,"Remote in Los Angeles, CA","Strong skills in data preprocessing, feature engineering, and data wrangling to extract meaningful insights from raw data.",Posted 30+ days ago·,,Remote in Los Angeles,CA,True
70,"Senior Director, Data Science",Red Bull,"Santa Monica, CA ",3+ years' experience hiring and managing data science teams.,Posted 30+ days ago·,194250.0,Santa Monica,CA,False
71,Machine Learning Engineer,Centerfield,"Hybrid remote in Los Angeles, CA","You will help design the data science programs, machine learning models, and architecture to support Generative AI .",Posted 10 days ago·,180000.0,Hybrid remote in Los Angeles,CA,True
72,"Sr. Data Analyst, Payment Risk & Fraud",SpaceX,"Hawthorne, CA","Implement data driven, risk-based solutions and policies to mitigate fraud and chargebacks.",Posted 11 days ago·,145000.0,Hawthorne,CA,False
73,Machine Learning Engineer,Tencent,"Los Angeles, CA",Create meaningful and relevant features from game data to improve model performance and accuracy.,Posted 30+ days ago·,,Los Angeles,CA,False
74,"Manager, Data Analytics",Disney Music Group,"Burbank, CA","Experience manipulating large, transaction level datasets and interpreting data trends from multiple disparate data sources.",Posted 30+ days ago·,182490.0,Burbank,CA,False
75,Senior Data & NLP Engineer,LegalMation,"Los Angeles, CA 90071 ",Work collaboratively with machine learning scientists and domain experts to understand data needs and implement effective data strategies.,Active Today,160000.0,Los Angeles,CA,False
76,AI Training for Physics,Outlier,3.7,"Help train AI models to become more accurate, relevant, and safe in Physics!",Today,104000.0,,,False
77,Programmer Analyst,USC,"Los Angeles, CA",Develop web-based databases and tools to facilitate data analysis.,Posted 30+ days ago·,,Los Angeles,CA,False
78,"Staff Analyst, Health – Product Designer",Heluna Health,"Hybrid remote in Los Angeles, CA 90014","Monitors data quality and completeness, and implements data improvement procedures, as needed.",Posted 30+ days ago·,,Hybrid remote in Los Angeles,CA,True
79,Product Marketing Assistant Manager,The Walt Disney Studios,"Glendale, CA","Partner with the consumer insights, data science, and analytics teams to define goals and track the success of key launches and monitor results to inform future…",Posted 30+ days ago·,136700.0,Glendale,CA,False
80,Senior Data Scientist,Warner Bros Careers,"Culver City, CA",You will work with the data science team to implement best practices in data and code quality and collaborate with business stakeholders to solve broader…,Posted 20 days ago·,222300.0,Culver City,CA,False
81,Data Scientist,Link Network,"Torrance, CA",Identify data needs and sources.,Posted 1 day ago·,,Torrance,CA,False
82,Senior Business Data Analyst,East West Bank,"Pasadena, CA 91101 ",Troubleshoot and root cause data anomalies.,Posted 7 days ago·,,Pasadena,CA,False
83,"Water Resources Engineer, Scientist, or Data Scientist",LimnoTech,"Los Angeles, CA","Data management, processing and assessment, including developing automated tools for data management, analysis, and visualization using modern data science…",Posted 30+ days ago·,,Los Angeles,CA,False
84,Senior Manager Global Portfolio Management & Transactions,The Walt Disney Company (Corporate),"Burbank, CA","Understanding, tracking and managing data.",Posted 27 days ago·,,Burbank,CA,False
85,Senior Business Data Analyst,USC,"Los Angeles, CA",Identifies data sources and manages collection process; cleans data for input into business intelligence (BI) tools.,Posted 3 days ago·,113304.12,Los Angeles,CA,False
86,"LA Galaxy, Sr Data Analyst- Marketing",AEG Worldwide,"Carson, CA",Work with the Data Engineer to ensure data is structured properly for analysis to ensure the data desired is received.,Posted 16 days ago·,,Carson,CA,False
87,Analytics Manager,Alo Yoga,"Beverly Hills, CA","Minimum of 8+ years of experience in data analytics or data science, including experience in retail analytics and growth strategies and 2+ years managing people…",Posted 30+ days ago·,,Beverly Hills,CA,False
88,Staff Data Scientist,StubHub,"Hybrid remote in Los Angeles, CA","5+ years of relevant data science or machine learning experience and an MS. or Ph.D. degree in math, statistics, computer science, or other quantitative fields…",Posted 7 days ago·,,Hybrid remote in Los Angeles,CA,True
89,"Growth Marketing Analyst, Paid Social",Thrive Causemetics,"Los Angeles, CA",Exceptional analytical skills to drive data-driven decisions and problem-solving.,Posted 30+ days ago·,,Los Angeles,CA,False
90,Data Scientist,Triunity Software,"Los Angeles, CA 90012","MS or PhD in computer science, data science, statistics, math, or related quantitative field.",Posted 1 day ago·,160000.0,Los Angeles,CA,False
91,"Analyst, Quality Analytics & Performance Improvement (Remote)",Molina Healthcare,"Remote in Long Beach, CA 90802","Work in an agile business environment to derive meaningful information out of complex as well as large organizational data sets through data analysis, data…",Posted 6 days ago·,,Remote in Long Beach,CA,True
92,Data Analyst,Zero Labs Automotive,"Gardena, CA","Three (3) years experience working in data analysis, data science or related industry.",Posted 30+ days ago·,,Gardena,CA,False
93,Mid-Level Staff Analyst,BOEING,"El Segundo, CA 90245","4+ years of experience collecting data from multiple sources, performing analysis and presenting data.",Posted 7 days ago·,106950.0,El Segundo,CA,False
94,Research Associate Data Scientist - Slomka Lab - Innovation in Imaging / Department of Medicine / Division of AIM,CEDARS-SINAI,"Los Angeles, CA",Creates sustainable data science infrastructure and adheres to data analysis/machine learning standard processes.,Posted 6 days ago·,133100.0,Los Angeles,CA,False
95,"Manager, Data Science",Disney Direct to Consumer,"Santa Monica, CA",Experience fully integrating data science solutions into the business and operationalizing and developing ML models.,Posted 30+ days ago·,200200.0,Santa Monica,CA,False
96,"Analyst, Content Performance Analytics (Disney Entertainment)",Disney Entertainment Television,"Los Angeles, CA",Expertise in data exploration and data science.,Posted 30+ days ago·,93800.0,Los Angeles,CA,False
97,Senior Statistician (Fixed Hybrid),UCLA Health,"Los Angeles, CA 90095","You will collaborate with staff and faculty on data management, data quality control, statistical modeling, designing study databases, and applying skill in…",Posted 14 days ago·,175000.0,Los Angeles,CA,False
98,"Analyst, Data Management & Reporting","Sony Pictures Entertainment, Inc.","Culver City, CA","Excellent data manipulation, data cleaning and data visualization skills for summarizing large data sets to help facilitate decision making and strategic…",Posted 30+ days ago·,,Culver City,CA,False
99,ostdoctoral Scientist - Multi-modal Neuroimaging Analysis with Machine Learning – Al-Louzi/Sati labs,Springer Nature,"Los Angeles, CA 90048",Exceptional candidates with a demonstrated track record and experience in neuroimaging and data science.,Today·,93600.0,Los Angeles,CA,False
100,Staff Data Engineer,Metropolis,"Los Angeles, CA","Create business data catalog and/or data dictionaries to document data lineages, data definitions and metadata for data domains.",Posted 30+ days ago·,,Los Angeles,CA,False
101,PowerBI Reports Developer for Chemical Guys,Jenn Nguyen and Friends,"Torrance, CA 90505",Implement security measures to ensure data confidentiality and compliance with data protection regulations.,Active 2 days ago·,130000.0,Torrance,CA,False
102,"Data Scientist, Payment Analytics - USDS",TikTok,"Hybrid remote in Los Angeles, CA","3+ years working in data science, risk, machine learning, and A/B testing.",Posted 4 days ago·,228000.0,Hybrid remote in Los Angeles,CA,True
103,Senior Data Analyst,O Positiv,"Santa Monica, CA 90405 ",3+ years in data / analytics / product management roles.,Posted 30+ days ago·,,Santa Monica,CA,False
104,Conversational AI / NLP Engineer,Alelo,"Los Angeles, CA",Demonstrated ability to draw insights from user data and use them to drive product improvements.,Posted 30+ days ago·,,Los Angeles,CA,False
105,Senior Data Engineer,GOBankingRates,"Remote in Los Angeles, CA","Work with our data science and product management teams to design, rapidly prototype, and productize new data product ideas and capabilities.",Posted 30+ days ago·,,Remote in Los Angeles,CA,True
106,Games Data Lead,Blitz App,"Los Angeles, CA","Data Architecture: Define and implement data architecture best practices, including data warehousing, data lakes, and cloud-based solutions.",Posted 30+ days ago·,,Los Angeles,CA,False
107,Loyalty & Personalization Business Analyst Sr I,Honda,"Hybrid remote in Torrance, CA 90501",Primary data analysis prior to collaborating with data science team.,Posted 30+ days ago·,114900.0,Hybrid remote in Torrance,CA,True
108,AWS Data Engineer - Mumbai,Fugetron Corporation,"Los Angeles, CA",5+ years of professional experience in software development with familiarity in data engineering or data science.,Posted 24 days ago·,,Los Angeles,CA,False
109,Senior Electro-Physics Engineer,BOEING,"El Segundo, CA 90245","Bachelor of Science degree from an accredited course of study in engineering, engineering technology (includes manufacturing engineering technology), chemistry,…",Posted 10 days ago·,210450.0,El Segundo,CA,False
110,Senior Data Engineer,System1,"Hybrid remote in Los Angeles, CA 90066",Designing and developing data processing infrastructure.,Posted 28 days ago·,,Hybrid remote in Los Angeles,CA,True
111,Data Engineer,InStride,"Los Angeles, CA",5+ years of professional experience in software development with familiarity in data engineering or data science.,Posted 30+ days ago·,,Los Angeles,CA,False
112,Software Engineer II,Dyno Labs,"Los Angeles, CA","Experience in working with big data technologies (e.g., Apache Spark, Hadoop) for data processing and model training.",Posted 30+ days ago·,,Los Angeles,CA,False
113,Master of Applied Statistics and Data Science Adjunct Professor - Spring 2024,UCLA,"Los Angeles, CA","Ideal candidates will have a Ph.D. in Statistics or a related field, a demonstrated excellence in teaching, knowledge of and experience with R, experience in…",Posted 21 days ago·,40000.0,Los Angeles,CA,False
114,Application Engineer,MathWorks,"Hybrid remote in Torrance, CA",The hybrid model provides the advantage of having both in-person time with colleagues and flexible at-home life optimizations.,Posted 15 days ago·,140000.0,Hybrid remote in Torrance,CA,True
115,Senior Technical Data Analyst,System1,"Hybrid remote in Los Angeles, CA 90066",5+ years of experience in data analysis and visualization of large data sets.,Posted 30+ days ago·,,Hybrid remote in Los Angeles,CA,True
116,Business Data Engineer,Latham & Watkins LLP,"Los Angeles, CA 90013 ","This role will be responsible for developing, researching, and implementing data analysis projects including but not limited to data reporting, data…",Posted 30+ days ago·,,Los Angeles,CA,False
117,"Senior Business Intelligence Analyst $110,000 - $140,000 Annual (On-site)",Commerce Casino,"Commerce, CA 90040","⦁ Undergraduate education in data science or analytics, computer science, statistics, business, sciences, or equivalent relatable combination of work experience…",Posted 27 days ago·,,Commerce,CA,False
118,Data Engineer (W2),ProIT Inc.,"Culver City, CA",Working on building /optimizing logical data model and data pipelines while delivering high data quality solutions that are testable and adhere to SLAs.,Active 9 days ago·,,Culver City,CA,False
119,Chief Data & Artificial Intelligence Officer (CDAIO),UCLA,"Los Angeles, CA","Understanding of data governance, privacy, and security in AI applications.",Posted 13 days ago·,282300.0,Los Angeles,CA,False
120,AI Training for Physics,Outlier,3.7,"Help train AI models to become more accurate, relevant, and safe in Physics!",Today,104000.0,,,False
121,"Title V Data Research Analyst, Institutional Planning & Research Department",Mount Saint Mary's University,"Los Angeles, CA 90049 ","Bachelor's degree required in data science, data analysis or a related field; Master's degree preferred.",Posted 30+ days ago·,5666.67,Los Angeles,CA,False
122,"Machine Learning Engineer, TikTok Branding Ads",TikTok,"Los Angeles, CA","Relevant professional experience with machine learning, data mining, data analysis, distribution system.",Posted 30+ days ago·,237500.0,Los Angeles,CA,False
123,DATA & SYSTEMS ENGINEER,Iris.TV,"Los Angeles, CA","Experience in video, analytics, data connectivity, martech, adtech, and/or building APIs.",Posted 30+ days ago·,,Los Angeles,CA,False
124,"Marketing Science Lead, North America",Snapchat,"Los Angeles, CA 90291 ","Access, analyze, interpret, and communicate ads performance insights using a wide range of standard data science tooling.",Posted 30+ days ago·,194000.0,Los Angeles,CA,False
125,Senior Data Scientist - Personalization & Recommendations,Fox Corporation,"Los Angeles, CA","Our current advanced digital solutions, accessed by millions across web, mobile, and living room devices, signify just the start of our ambitious journey.",Posted 30+ days ago·,175000.0,Los Angeles,CA,False
126,Global Sr. Director of Growth,Acorns,"Los Angeles, CA","Experience working cross-functionally with analytics, data science, creative, and product to drive growth KPIs.",Posted 30+ days ago·,250000.0,Los Angeles,CA,False
127,"Director/ Sr. Director, Data Analytics",Shout! Factory,"Los Angeles, CA 90025 ","Bachelor’s degree in data science, mathematics, or field related coursework.",Posted 1 day ago·,130000.0,Los Angeles,CA,False
128,"Senior Business Intelligence Analyst $110,000 - $140,000 Annual (On-site)",Commerce Casino,"Commerce, CA 90040","⦁ Undergraduate education in data science or analytics, computer science, statistics, business, sciences, or equivalent relatable combination of work experience…",Active 2 days ago·,,Commerce,CA,False
129,Senior Data Scientist,CEDENT,"Burbank, CA","The Data Analytic Consultant provides support in making strategic data-related decisions by analyzing, manipulating, tracking, internally managing and reporting…",Posted 30+ days ago·,,Burbank,CA,False
130,Mid-Level Aircraft Environmental Control Systems Analysis Engineer,BOEING,"Long Beach, CA","Bachelor of Science degree from an accredited course of study in engineering, engineering technology (includes manufacturing engineering technology), chemistry,…",Posted 1 day ago·,,Long Beach,CA,False
131,"Senior Data Scientist, 5+ Years of Experience",Snapchat,"Los Angeles, CA 90291 ",5+ years of experience in quantitative analysis & data science or a related field.,Posted 30+ days ago·,235000.0,Los Angeles,CA,False
