Title,Company,Location,Modality,Job_Description,When_Posted,Pay,City,State,Rating
Data Governance Manager,Logic20/20 Inc.,"Los Angeles, CA",,"7+ years of experience in designing, implementing and executing data governance programs to support data quality initiatives as either participating on a…",Posted 6 days ago·,170000.0,Los Angeles,CA,
Principal Data Scientist,FLYR Labs,"Hybrid remote in Los Angeles, CA",Hybrid,"Work with other technical product owners, lead data scientists and data science managers to develop technical solutions.",Posted 30+ days ago·,,   Los Angeles,CA,
Responsible AI Risk Assessment and Measurement (Lead/Senior Manager) - X Delivery,Boston Consulting Group,"Los Angeles, CA 90071 ",,Who We Are Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest…,Posted 5 days ago·,,Los Angeles,CA,
"Data Science Manager, Marketing Mix Model",FanDuel,"Los Angeles, CA",,"ABOUT FANDUEL FanDuel Group (""FanDuel"") is an innovative sports-tech entertainment company that is changing the way consumers engage with their favorite…",Posted 30+ days ago·,180000.0,Los Angeles,CA,
In-house Counsel for a Saas Startup working on Web Accessibility and Data Privacy,Ally Right,"Lomita, CA 90717",,Company Description Ally Right is the world’s first website compliance and security management software powered by Artificial Intelligence. In addition to…,Posted 30+ days ago·,,Lomita,CA,
Insights and Analytics Manager,Deloitte,"Los Angeles, CA",,"Insights and Analytics Manager Data Science and Analytics Craft, Experience Agency In today's world, customers expect companies to know who they are and…",Posted 2 days ago·,,Los Angeles,CA,
"Data Scientist, Investigations and Insights, Trust and Safety - USDS",TikTok,"Los Angeles, CA",,Responsibilities About TikTok U.S. Data Security TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring…,Posted 30+ days ago·,312866.0,Los Angeles,CA,
Senior SEM Analyst,Tripadvisor,"Remote in Los Angeles, CA",Remote,"We believe that we are better together, and at Tripadvisor we welcome you for who you are. Our workplace is for everyone, as is our people powered platform.…",Posted 30+ days ago·,115000.0,Remote  Los Angeles,CA,
"Scientific Data Analyst, Sr. / Heart Institute Research",Children's Hospital Los Angeles,"Los Angeles, CA",,"Location/Org Data : Introduction: NATIONAL LEADERS IN PEDIATRIC CARE Ranked among the top 10 pediatric hospitals in the nation, Children’s Hospital Los…",Posted 30+ days ago·,,Los Angeles,CA,
"AI - Innovation, Delivery and Business Development Leader (Consumer & Retail Focus)",Deloitte,"Los Angeles, CA",,"Artificial Intelligence Business Development - CPG SFL Scientific, a Deloitte Business, is a U.S. based, data science consulting firm specializing in…",Posted 30+ days ago·,,Los Angeles,CA,
"Lead Software Engineer, AI Productivity Startup",Recruiting From Scratch,"Remote in Los Angeles, CA 90210",Remote,"Who is Recruiting from Scratch: Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware…",Posted 14 days ago·,200000.0,Remote  Los Angeles,CA,
"Senior Data Engineer, Public Company",Recruiting From Scratch,"Santa Monica, CA 90291",,This is for a client of Recruiting from Scratch. Who is Recruiting from Scratch: Recruiting from Scratch is a premier talent firm that focuses on placing the…,Posted 30+ days ago·,200000.0,Santa Monica,CA,
Senior Data Architect,USC,"Los Angeles, CA",,The University of Southern California’s Information Technology Services (ITS) is seeking a talented Senior Data Architect with an exceptional commitment to…,Posted 30+ days ago·,170000.0,Los Angeles,CA,
"Machine Learning Architect, Creativity Apps",Apple,"Culver City, CA",,"Summary Posted: Mar 12, 2024 Role Number:200542331 At Apple, new ideas have a way of becoming phenomenal products, services, and customer experiences very…",Posted 12 days ago·,346300.0,Culver City,CA,
SENIOR DATA SCIENTIST,County of Los Angeles,"Los Angeles, CA 90010",,"JOB When to Apply We will be accepting applications from Friday, March 22, 2024, at 8:00 a.m. (PT) to Friday, April 5, 2024 BEFORE 5:00 p.m. (PT).Type of…",Posted 4 days ago·,12986.36,Los Angeles,CA,
Charge Capture Coordinator - Clinical Revenue Integrity,Keck Medical Center of USC,"Alhambra, CA",,"Under the general direction of the Revenue Manager, the Charge Capture Coordinator is primarily responsible for unit and area specific charge capture of…",Posted 17 days ago·,94016.0,Alhambra,CA,
Digital Modeling Engineer III,ManTech,"El Segundo, CA 90245",,"Secure our Nation, Ignite your Future Summary: Become an integral part of a diverse team while working at an Industry Leading Organization, where our…",Posted 30+ days ago·,180100.0,El Segundo,CA,
AI Training for Physics,Outlier,,,"Help train AI models to become more accurate, relevant, and safe in Physics!",Posted 4 days ag,104000.0,,CA,3.7
"Sr. Specialist, Advanced Analytics",DIRECTV,,,"3 - 5 years of related experience in data science, advanced analytics, and machine learning.",Posted 8 days ag,,,CA,3.7
AI Partnerships Lead,Deloitte,"Los Angeles, CA",,"SFL Scientific, a Deloitte Business, is a U.S. based, data science consulting firm specializing in building industry-specific, artificial intelligence (AI)…",Posted 30+ days ago·,,Los Angeles,CA,
Director - Marketing Strategy & Data Intelligence,Zeta Global,"El Segundo, CA",,Collaborate to improve predictive model fidelity – both the speed to market and predictability of model outcomes - through the combination of first party data…,Posted 14 days ago·,160000.0,El Segundo,CA,
"Founding Fullstack Engineer, AI Video Startup",Recruiting From Scratch,"Remote in Los Angeles, CA 90210",Remote,Our client empowers AI video ad creation.,Posted 1 day ago·,220000.0,Remote  Los Angeles,CA,
"Senior Machine Learning Engineer, AI Video Ads",Recruiting From Scratch,"Remote in Los Angeles, CA 90210",Remote,"Participate in the entire lifecycle of AI projects, from problem definition to deployment.",Posted 1 day ago·,220000.0,Remote  Los Angeles,CA,
Senior Backend Engineer (AI/ML),Recruiting From Scratch,"Remote in Los Angeles, CA 90210",Remote,"Expertise in cloud services (AWS, Azure, GCP) and deploying applications in cloud environments.",Posted 30+ days ago·,200000.0,Remote  Los Angeles,CA,
"Founding Fullstack Engineer, AI Startup",Recruiting From Scratch,"Hybrid remote in Los Angeles, CA 90210",Hybrid,Data science : Hands-on experience with data science projects.,Posted 30+ days ago·,200000.0,   Los Angeles,CA,
Senior Machine Learning Engineer - CX,StubHub,"Hybrid remote in Los Angeles, CA",Hybrid,"In order to transform how millions of users explore, interact with, and participate in live events worldwide, StubHub is seeking Senior Software Engineers to…",Posted 30+ days ago·,275000.0,   Los Angeles,CA,
Senior Staff AI Data Engineer,Recruiting From Scratch,"Los Angeles, CA 90210",,Build data processing streams for cleaning and modeling text data for LLMs.,Posted 30+ days ago·,160000.0,Los Angeles,CA,
Lead Machine Learning Engineer,Logic20/20 Inc.,"Los Angeles, CA",,Collaborate with other data scientists and stakeholders on projects.,Posted 6 days ago·,215000.0,Los Angeles,CA,
"Senior Fullstack Engineer, Seed",Recruiting From Scratch,"Remote in Los Angeles, CA 90210",Remote,Third-party data providers for enrichment.,Posted 24 days ago·,140000.0,Remote  Los Angeles,CA,
"AI/ML Specialist, Trust and Safety - USDS",TikTok,"Hybrid remote in Los Angeles, CA",Hybrid,"Extensive experience in machine learning, data science, and data governance.",Posted 30+ days ago·,312866.0,   Los Angeles,CA,
"Adjunct - FY24 Mathematics Instructor, (Statistics Emphasis)",Los Angeles Community College District,"Los Angeles, CA 90017 ",,"Be knowledgeable in various programming languages related to data science, such as Python, R, etc.;",Posted 30+ days ago·,,Los Angeles,CA,
AI Solution Architect,Deloitte,"Los Angeles, CA",,"Build tools and capabilities that assist with data ingestion, feature engineering, data management, and organization.",Posted 30+ days ago·,,Los Angeles,CA,
"Senior Software Engineer, AI Product",Recruiting From Scratch,"Los Angeles, CA 90210",,Our client is building a product to help developers build AI products..,Posted 30+ days ago·,200000.0,Los Angeles,CA,
"Research Scientist, Machine Learning (PhD)",Meta,"Los Angeles, CA 90066 ",,"Research and/or work experience in machine learning, NLP, recommendation systems, pattern recognition, signal processing, data mining, artificial intelligence,…",Posted 30+ days ago·,173000.0,Los Angeles,CA,
Certification Engineer (Associate or Mid-Level),BOEING,"Hybrid remote in Long Beach, CA",Hybrid,"Bachelor of Science degree from an accredited course of study in engineering, engineering technology (includes manufacturing engineering technology), chemistry,…",Posted 7 days ago·,,   Long Beach,CA,
"Principal Machine Learning Engineer, ML Training Platform",Snapchat,"Los Angeles, CA 90291 ",,Masters/PhD in a technical field such as computer science.,Posted 30+ days ago·,311000.0,Los Angeles,CA,
"Machine Learning Engineer, 5+ Years Experience",Snapchat,"Los Angeles, CA 90291 ",,Advanced degree in computer science or related field.,Posted 30+ days ago·,257000.0,Los Angeles,CA,
Lead Palantir Developer,Logic20/20 Inc.,"Los Angeles, CA",,"Translating client user requirements into data flows, data mapping, etc.",Posted 30+ days ago·,180000.0,Los Angeles,CA,
"Oracle Analytics & AI, Manager",Deloitte,"Los Angeles, CA",,Cloud based data integration strategies.,Posted 19 days ago·,,Los Angeles,CA,
Signal Processing Architect,Pacific Defense,"Hybrid remote in El Segundo, CA",Hybrid,"Eight (8) years of relevant experience with a bachelor’s degree in electrical engineering, computer science, data science, mathematics, or other applicable…",Active 3 days ago·,170197.0,   El Segundo,CA,
"Founding AI Engineer, Seed",Recruiting From Scratch,"Remote in Los Angeles, CA 90210",Remote,"The company is led by co-founders with PhDs in AI, Blockchain, Math and Systems, is ready to redefine computing.",Posted 30+ days ago·,200000.0,Remote  Los Angeles,CA,
Deals Tech & Data Solutions (Financial Analytics) - Manager,PRICE WATERHOUSE COOPERS,"Los Angeles, CA",,And/or data visualization certifications such as Tableau and PowerBI.,Posted 30+ days ago·,,Los Angeles,CA,
Power Market Consultant - 1898 & Co. (Multiple California Locations),Burns & McDonnell,"Los Angeles, CA",,"Conduct data analysis and interpretation of engineering, financial, and economic conditions and results, and subsequent technical business implications to…",Posted 17 days ago·,235000.0,Los Angeles,CA,
"Senior Software Engineer, AI",Recruiting From Scratch,"Remote in Los Angeles, CA 90210",Remote,Building edge applications processing vision data and communication layers for the compute-constrained edge devices.,Posted 30+ days ago·,220000.0,Remote  Los Angeles,CA,
Deals Tech & Data Solutions (Financial Analytics) - Sr. Associate,PRICE WATERHOUSE COOPERS,"Los Angeles, CA",,And/or data visualization certifications such as Tableau and PowerBI.,Posted 30+ days ago·,,Los Angeles,CA,
"Military Service - Air Force Reserve, Operations Research Analyst",Military Service - Air Force Reserve,United States,,"Bachelor’s degree in one of the following fields: operations research, mathematics, statistics, industrial engineering, computer science, computational science,…",Active 4 days ag,,,CA,
